time,datetime,LST_Day_1km
1641254400000,2022-01-04,15035
1641427200000,2022-01-06,15041
1641686400000,2022-01-09,14889
1641254400000,2022-01-04,15033
1641427200000,2022-01-06,15077
1641600000000,2022-01-08,14962
1641686400000,2022-01-09,14889
1641254400000,2022-01-04,15019
1641427200000,2022-01-06,15087
1641686400000,2022-01-09,14903
1641254400000,2022-01-04,15007
1641427200000,2022-01-06,15086
1641686400000,2022-01-09,14903
1641254400000,2022-01-04,15035
1641427200000,2022-01-06,15034
1641686400000,2022-01-09,14967
1641254400000,2022-01-04,15036
1641427200000,2022-01-06,15056
1641600000000,2022-01-08,14961
1641686400000,2022-01-09,14912
1641254400000,2022-01-04,15049
1641427200000,2022-01-06,15055
1641600000000,2022-01-08,14952
1641686400000,2022-01-09,14917
1641254400000,2022-01-04,15047
1641427200000,2022-01-06,15061
1641600000000,2022-01-08,15017
1641686400000,2022-01-09,14902
1641254400000,2022-01-04,15042
1641427200000,2022-01-06,15088
1641600000000,2022-01-08,15046
1641686400000,2022-01-09,14912
1641254400000,2022-01-04,15024
1641427200000,2022-01-06,15061
1641686400000,2022-01-09,14888
1641254400000,2022-01-04,15009
1641427200000,2022-01-06,15053
1641686400000,2022-01-09,14866
1641254400000,2022-01-04,15032
1641427200000,2022-01-06,15052
1641254400000,2022-01-04,15016
1641427200000,2022-01-06,15051
1641254400000,2022-01-04,15001
1641427200000,2022-01-06,15001
1641254400000,2022-01-04,15094
1641600000000,2022-01-08,15037
1641686400000,2022-01-09,14963
1641254400000,2022-01-04,15079
1641600000000,2022-01-08,15037
1641686400000,2022-01-09,14952
1641254400000,2022-01-04,15007
1641427200000,2022-01-06,15047
1641686400000,2022-01-09,14888
1641254400000,2022-01-04,15025
1641427200000,2022-01-06,15047
1641686400000,2022-01-09,14938
1641254400000,2022-01-04,15050
1641427200000,2022-01-06,15045
1641600000000,2022-01-08,14925
1641686400000,2022-01-09,14943
1641254400000,2022-01-04,15046
1641427200000,2022-01-06,15043
1641600000000,2022-01-08,14954
1641686400000,2022-01-09,14940
1641254400000,2022-01-04,15031
1641427200000,2022-01-06,15077
1641600000000,2022-01-08,15065
1641686400000,2022-01-09,14910
1641254400000,2022-01-04,15016
1641427200000,2022-01-06,15049
1641600000000,2022-01-08,15039
1641686400000,2022-01-09,14907
1641254400000,2022-01-04,15000
1641427200000,2022-01-06,15061
1641600000000,2022-01-08,15015
1641686400000,2022-01-09,14913
1641254400000,2022-01-04,15005
1641427200000,2022-01-06,15049
1641600000000,2022-01-08,15003
1641686400000,2022-01-09,14913
1641254400000,2022-01-04,15028
1641600000000,2022-01-08,15030
1641686400000,2022-01-09,14950
1641254400000,2022-01-04,15029
1641427200000,2022-01-06,15058
1641686400000,2022-01-09,14894
1641254400000,2022-01-04,15002
1641427200000,2022-01-06,15055
1641686400000,2022-01-09,14844
1641254400000,2022-01-04,15012
1641427200000,2022-01-06,15065
1641686400000,2022-01-09,14844
1641254400000,2022-01-04,15021
1641427200000,2022-01-06,15072
1641686400000,2022-01-09,14844
1641254400000,2022-01-04,15022
1641427200000,2022-01-06,15072
1641254400000,2022-01-04,15012
1641427200000,2022-01-06,15062
1641254400000,2022-01-04,15010
1641427200000,2022-01-06,15047
1641254400000,2022-01-04,14999
1641427200000,2022-01-06,15031
1641254400000,2022-01-04,15091
1641427200000,2022-01-06,14996
1641600000000,2022-01-08,14959
1641686400000,2022-01-09,14949
1641254400000,2022-01-04,15088
1641427200000,2022-01-06,14888
1641600000000,2022-01-08,15010
1641686400000,2022-01-09,14948
1641254400000,2022-01-04,15072
1641427200000,2022-01-06,14882
1641600000000,2022-01-08,15037
1641686400000,2022-01-09,14955
1641254400000,2022-01-04,15072
1641427200000,2022-01-06,14946
1641600000000,2022-01-08,15009
1641686400000,2022-01-09,14952
1641254400000,2022-01-04,15080
1641427200000,2022-01-06,14981
1641600000000,2022-01-08,15023
1641686400000,2022-01-09,14954
1641254400000,2022-01-04,15007
1641427200000,2022-01-06,15091
1641686400000,2022-01-09,14877
1641254400000,2022-01-04,15023
1641427200000,2022-01-06,15063
1641686400000,2022-01-09,14888
1641254400000,2022-01-04,15028
1641427200000,2022-01-06,15043
1641686400000,2022-01-09,14907
1641254400000,2022-01-04,15017
1641427200000,2022-01-06,15037
1641600000000,2022-01-08,14967
1641686400000,2022-01-09,14907
1641254400000,2022-01-04,15007
1641427200000,2022-01-06,15037
1641600000000,2022-01-08,14987
1641686400000,2022-01-09,14902
1641254400000,2022-01-04,15008
1641427200000,2022-01-06,15042
1641600000000,2022-01-08,15003
1641686400000,2022-01-09,14905
1641254400000,2022-01-04,15003
1641427200000,2022-01-06,15044
1641600000000,2022-01-08,14991
1641686400000,2022-01-09,14909
1641254400000,2022-01-04,15003
1641427200000,2022-01-06,15047
1641600000000,2022-01-08,15012
1641686400000,2022-01-09,14871
1641254400000,2022-01-04,15008
1641427200000,2022-01-06,15057
1641600000000,2022-01-08,15015
1641686400000,2022-01-09,14865
1641254400000,2022-01-04,15029
1641427200000,2022-01-06,15064
1641600000000,2022-01-08,15019
1641686400000,2022-01-09,14861
1641254400000,2022-01-04,15052
1641427200000,2022-01-06,15103
1641600000000,2022-01-08,15040
1641686400000,2022-01-09,14939
1641254400000,2022-01-04,15025
1641600000000,2022-01-08,15059
1641686400000,2022-01-09,14942
1641254400000,2022-01-04,15035
1641600000000,2022-01-08,15065
1641686400000,2022-01-09,14937
1641254400000,2022-01-04,15030
1641600000000,2022-01-08,15069
1641686400000,2022-01-09,14947
1641254400000,2022-01-04,15016
1641427200000,2022-01-06,15018
1641600000000,2022-01-08,15054
1641686400000,2022-01-09,14964
1641254400000,2022-01-04,15017
1641427200000,2022-01-06,15027
1641600000000,2022-01-08,15040
1641686400000,2022-01-09,14964
1641254400000,2022-01-04,15002
1641427200000,2022-01-06,15045
1641600000000,2022-01-08,15037
1641686400000,2022-01-09,14950
1641254400000,2022-01-04,15018
1641427200000,2022-01-06,15063
1641686400000,2022-01-09,14923
1641254400000,2022-01-04,15021
1641427200000,2022-01-06,15046
1641686400000,2022-01-09,14915
1641254400000,2022-01-04,15017
1641427200000,2022-01-06,15061
1641686400000,2022-01-09,14871
1641254400000,2022-01-04,15014
1641427200000,2022-01-06,15053
1641686400000,2022-01-09,14863
1641254400000,2022-01-04,15020
1641427200000,2022-01-06,15082
1641686400000,2022-01-09,14864
1641254400000,2022-01-04,15016
1641427200000,2022-01-06,15064
1641254400000,2022-01-04,15015
1641427200000,2022-01-06,15057
1641254400000,2022-01-04,14987
1641427200000,2022-01-06,15044
1641254400000,2022-01-04,14995
1641427200000,2022-01-06,15013
1641254400000,2022-01-04,14978
1641427200000,2022-01-06,14981
1641254400000,2022-01-04,15088
1641427200000,2022-01-06,15004
1641600000000,2022-01-08,14977
1641686400000,2022-01-09,14937
1641168000000,2022-01-03,15303
1641254400000,2022-01-04,15073
1641427200000,2022-01-06,14989
1641600000000,2022-01-08,14981
1641686400000,2022-01-09,14945
1641254400000,2022-01-04,15046
1641427200000,2022-01-06,14897
1641600000000,2022-01-08,14998
1641686400000,2022-01-09,14952
1641254400000,2022-01-04,15054
1641427200000,2022-01-06,15027
1641600000000,2022-01-08,15011
1641686400000,2022-01-09,14952
1641254400000,2022-01-04,15050
1641427200000,2022-01-06,15038
1641600000000,2022-01-08,15024
1641686400000,2022-01-09,14949
1641254400000,2022-01-04,15046
1641427200000,2022-01-06,15065
1641600000000,2022-01-08,15009
1641686400000,2022-01-09,14934
1641686400000,2022-01-09,14952
1641254400000,2022-01-04,15079
1641427200000,2022-01-06,15145
1641686400000,2022-01-09,14952
1641254400000,2022-01-04,15033
1641427200000,2022-01-06,15141
1641686400000,2022-01-09,14879
1641254400000,2022-01-04,15017
1641427200000,2022-01-06,15096
1641686400000,2022-01-09,14859
1641254400000,2022-01-04,15016
1641427200000,2022-01-06,15038
1641686400000,2022-01-09,14862
1641254400000,2022-01-04,15003
1641427200000,2022-01-06,15012
1641600000000,2022-01-08,14999
1641686400000,2022-01-09,14861
1641254400000,2022-01-04,14984
1641427200000,2022-01-06,15014
1641600000000,2022-01-08,15003
1641686400000,2022-01-09,14857
1641254400000,2022-01-04,14977
1641427200000,2022-01-06,15016
1641600000000,2022-01-08,15001
1641686400000,2022-01-09,14844
1641254400000,2022-01-04,14999
1641427200000,2022-01-06,15021
1641600000000,2022-01-08,14991
1641686400000,2022-01-09,14861
1641254400000,2022-01-04,15000
1641427200000,2022-01-06,15025
1641600000000,2022-01-08,15006
1641686400000,2022-01-09,14875
1641254400000,2022-01-04,15003
1641427200000,2022-01-06,15027
1641600000000,2022-01-08,15007
1641686400000,2022-01-09,14854
1641254400000,2022-01-04,15006
1641427200000,2022-01-06,15008
1641600000000,2022-01-08,15008
1641686400000,2022-01-09,14854
1641254400000,2022-01-04,15024
1641427200000,2022-01-06,15025
1641600000000,2022-01-08,15016
1641686400000,2022-01-09,14884
1641254400000,2022-01-04,15012
1641427200000,2022-01-06,15042
1641600000000,2022-01-08,15031
1641686400000,2022-01-09,14919
1641254400000,2022-01-04,15006
1641427200000,2022-01-06,15049
1641600000000,2022-01-08,15036
1641686400000,2022-01-09,14920
1641254400000,2022-01-04,15005
1641427200000,2022-01-06,15045
1641686400000,2022-01-09,14935
1641254400000,2022-01-04,15000
1641427200000,2022-01-06,15008
1641600000000,2022-01-08,15013
1641686400000,2022-01-09,14951
1641254400000,2022-01-04,15014
1641427200000,2022-01-06,15004
1641600000000,2022-01-08,15050
1641686400000,2022-01-09,14951
1641254400000,2022-01-04,15037
1641600000000,2022-01-08,15052
1641686400000,2022-01-09,14943
1641254400000,2022-01-04,15065
1641427200000,2022-01-06,15085
1641600000000,2022-01-08,15073
1641686400000,2022-01-09,14937
1641254400000,2022-01-04,15071
1641427200000,2022-01-06,15066
1641600000000,2022-01-08,15076
1641686400000,2022-01-09,14937
1641254400000,2022-01-04,15031
1641427200000,2022-01-06,15063
1641600000000,2022-01-08,15033
1641686400000,2022-01-09,14917
1641254400000,2022-01-04,15012
1641427200000,2022-01-06,15055
1641600000000,2022-01-08,15014
1641686400000,2022-01-09,14898
1641254400000,2022-01-04,15008
1641427200000,2022-01-06,15045
1641600000000,2022-01-08,15019
1641686400000,2022-01-09,14885
1641254400000,2022-01-04,15004
1641427200000,2022-01-06,15062
1641600000000,2022-01-08,15039
1641686400000,2022-01-09,14921
1641254400000,2022-01-04,15012
1641427200000,2022-01-06,15082
1641600000000,2022-01-08,15046
1641686400000,2022-01-09,14933
1641254400000,2022-01-04,15019
1641427200000,2022-01-06,15048
1641600000000,2022-01-08,15042
1641686400000,2022-01-09,14933
1641254400000,2022-01-04,15034
1641427200000,2022-01-06,15053
1641600000000,2022-01-08,15005
1641686400000,2022-01-09,14955
1641254400000,2022-01-04,15021
1641427200000,2022-01-06,15065
1641686400000,2022-01-09,14948
1641254400000,2022-01-04,15026
1641427200000,2022-01-06,15066
1641686400000,2022-01-09,14947
1641254400000,2022-01-04,15042
1641427200000,2022-01-06,15046
1641686400000,2022-01-09,14947
1641254400000,2022-01-04,15022
1641427200000,2022-01-06,15058
1641686400000,2022-01-09,14945
1641254400000,2022-01-04,15019
1641427200000,2022-01-06,15073
1641686400000,2022-01-09,14902
1641254400000,2022-01-04,15025
1641427200000,2022-01-06,15063
1641686400000,2022-01-09,14905
1641254400000,2022-01-04,15028
1641427200000,2022-01-06,15058
1641686400000,2022-01-09,14907
1641254400000,2022-01-04,15006
1641427200000,2022-01-06,15064
1641686400000,2022-01-09,14886
1641254400000,2022-01-04,15010
1641427200000,2022-01-06,15070
1641686400000,2022-01-09,14867
1641254400000,2022-01-04,15016
1641427200000,2022-01-06,15091
1641686400000,2022-01-09,14869
1641254400000,2022-01-04,15018
1641427200000,2022-01-06,15059
1641686400000,2022-01-09,14849
1641254400000,2022-01-04,15010
1641427200000,2022-01-06,15066
1641686400000,2022-01-09,14834
1641254400000,2022-01-04,15007
1641427200000,2022-01-06,15075
1641686400000,2022-01-09,14836
1641254400000,2022-01-04,14985
1641427200000,2022-01-06,15044
1641686400000,2022-01-09,14843
