time,datetime,LST_Day_1km
1641686400000,2022-01-09,15096
1641686400000,2022-01-09,15132
1641600000000,2022-01-08,15041
1641686400000,2022-01-09,15092
1641686400000,2022-01-09,15097
1641686400000,2022-01-09,15119
1641600000000,2022-01-08,15041
1641686400000,2022-01-09,15092
1641600000000,2022-01-08,15042
1641686400000,2022-01-09,15092
1641600000000,2022-01-08,15052
1641686400000,2022-01-09,15092
1641600000000,2022-01-08,15062
1641686400000,2022-01-09,15095
1641600000000,2022-01-08,15153
1641600000000,2022-01-08,15153
1641600000000,2022-01-08,15169
1641686400000,2022-01-09,15041
1641600000000,2022-01-08,15154
1641686400000,2022-01-09,15041
1641600000000,2022-01-08,15088
1641686400000,2022-01-09,15051
1641600000000,2022-01-08,15159
1641686400000,2022-01-09,15057
1641600000000,2022-01-08,15147
1641686400000,2022-01-09,15078
1641600000000,2022-01-08,15012
1641686400000,2022-01-09,15075
1641600000000,2022-01-08,15134
1641686400000,2022-01-09,15078
1641600000000,2022-01-08,15142
1641686400000,2022-01-09,15093
1641600000000,2022-01-08,14855
1641686400000,2022-01-09,15020
1641600000000,2022-01-08,14999
1641686400000,2022-01-09,15125
1641600000000,2022-01-08,15041
1641686400000,2022-01-09,15173
1641600000000,2022-01-08,15059
1641686400000,2022-01-09,15173
1641600000000,2022-01-08,15127
1641686400000,2022-01-09,15140
1641600000000,2022-01-08,15135
1641686400000,2022-01-09,15134
1641686400000,2022-01-09,15134
1641686400000,2022-01-09,15151
1641686400000,2022-01-09,15151
1641600000000,2022-01-08,14903
1641686400000,2022-01-09,15022
1641600000000,2022-01-08,15063
1641686400000,2022-01-09,15133
1641600000000,2022-01-08,15094
1641686400000,2022-01-09,15156
1641600000000,2022-01-08,15114
1641686400000,2022-01-09,15149
1641600000000,2022-01-08,15154
1641686400000,2022-01-09,15123
1641600000000,2022-01-08,15156
1641686400000,2022-01-09,15110
1641686400000,2022-01-09,15102
1641686400000,2022-01-09,15124
1641686400000,2022-01-09,15138
1641686400000,2022-01-09,15137
1641686400000,2022-01-09,15116
1641686400000,2022-01-09,15091
1641686400000,2022-01-09,15001
1641686400000,2022-01-09,14970
1641686400000,2022-01-09,15045
1641600000000,2022-01-08,14978
1641686400000,2022-01-09,15056
1641600000000,2022-01-08,14992
1641686400000,2022-01-09,15063
1641600000000,2022-01-08,15112
1641686400000,2022-01-09,15120
1641600000000,2022-01-08,15121
1641686400000,2022-01-09,15119
1641600000000,2022-01-08,15133
1641686400000,2022-01-09,15101
1641600000000,2022-01-08,15129
1641686400000,2022-01-09,15073
1641686400000,2022-01-09,15073
1641686400000,2022-01-09,15105
1641600000000,2022-01-08,15182
1641686400000,2022-01-09,15121
1641600000000,2022-01-08,15134
1641686400000,2022-01-09,15118
1641600000000,2022-01-08,14988
1641686400000,2022-01-09,15113
1641600000000,2022-01-08,15124
1641686400000,2022-01-09,15115
1641600000000,2022-01-08,15150
1641686400000,2022-01-09,15082
1641600000000,2022-01-08,15138
1641686400000,2022-01-09,15001
1641600000000,2022-01-08,15217
1641686400000,2022-01-09,14981
1641600000000,2022-01-08,15220
1641686400000,2022-01-09,14988
1641686400000,2022-01-09,15097
1641600000000,2022-01-08,15002
1641686400000,2022-01-09,15097
1641600000000,2022-01-08,15002
1641686400000,2022-01-09,15075
1641600000000,2022-01-08,15035
1641686400000,2022-01-09,15074
1641600000000,2022-01-08,15062
1641686400000,2022-01-09,15073
1641600000000,2022-01-08,15087
1641686400000,2022-01-09,15107
1641600000000,2022-01-08,15105
1641686400000,2022-01-09,15105
1641600000000,2022-01-08,15126
1641686400000,2022-01-09,15091
1641600000000,2022-01-08,15206
1641686400000,2022-01-09,15057
1641600000000,2022-01-08,15226
1641686400000,2022-01-09,15075
1641600000000,2022-01-08,15215
1641686400000,2022-01-09,15084
1641600000000,2022-01-08,15189
1641686400000,2022-01-09,15071
1641600000000,2022-01-08,15120
1641686400000,2022-01-09,15079
1641600000000,2022-01-08,14983
1641686400000,2022-01-09,15127
1641600000000,2022-01-08,15133
1641686400000,2022-01-09,15136
1641600000000,2022-01-08,15145
1641686400000,2022-01-09,15120
1641600000000,2022-01-08,15148
1641686400000,2022-01-09,15068
1641600000000,2022-01-08,15050
1641686400000,2022-01-09,15075
1641600000000,2022-01-08,14861
1641686400000,2022-01-09,15046
1641600000000,2022-01-08,14837
1641686400000,2022-01-09,15041
1641600000000,2022-01-08,15090
1641686400000,2022-01-09,15045
1641600000000,2022-01-08,15100
1641686400000,2022-01-09,15050
1641686400000,2022-01-09,15008
1641686400000,2022-01-09,14992
1641600000000,2022-01-08,14786
1641686400000,2022-01-09,15050
1641600000000,2022-01-08,14845
1641686400000,2022-01-09,15075
1641600000000,2022-01-08,14913
1641686400000,2022-01-09,15074
1641600000000,2022-01-08,15025
1641686400000,2022-01-09,15067
1641600000000,2022-01-08,15063
1641686400000,2022-01-09,15069
1641600000000,2022-01-08,15075
1641686400000,2022-01-09,15074
1641600000000,2022-01-08,15043
1641686400000,2022-01-09,15089
1641600000000,2022-01-08,15106
1641686400000,2022-01-09,15063
1641600000000,2022-01-08,15140
1641686400000,2022-01-09,15049
1641600000000,2022-01-08,15169
1641686400000,2022-01-09,15050
1641600000000,2022-01-08,15205
1641686400000,2022-01-09,15060
1641600000000,2022-01-08,15217
1641686400000,2022-01-09,15068
1641600000000,2022-01-08,15215
1641686400000,2022-01-09,15045
1641600000000,2022-01-08,14944
1641686400000,2022-01-09,15063
1641600000000,2022-01-08,14944
1641686400000,2022-01-09,15098
1641600000000,2022-01-08,15125
1641686400000,2022-01-09,15091
1641600000000,2022-01-08,15137
1641686400000,2022-01-09,15096
1641600000000,2022-01-08,15124
1641686400000,2022-01-09,15089
1641600000000,2022-01-08,14972
1641686400000,2022-01-09,15080
1641600000000,2022-01-08,14663
1641686400000,2022-01-09,15056
1641600000000,2022-01-08,14742
1641686400000,2022-01-09,15069
1641600000000,2022-01-08,15118
1641686400000,2022-01-09,15073
1641600000000,2022-01-08,15166
1641686400000,2022-01-09,15038
1641600000000,2022-01-08,15172
1641686400000,2022-01-09,15015
1641686400000,2022-01-09,15017
1641686400000,2022-01-09,15027
1641600000000,2022-01-08,14975
1641686400000,2022-01-09,14992
1641686400000,2022-01-09,15084
1641600000000,2022-01-08,14786
1641686400000,2022-01-09,15084
1641600000000,2022-01-08,14785
1641686400000,2022-01-09,15069
1641600000000,2022-01-08,14897
1641686400000,2022-01-09,15073
1641600000000,2022-01-08,14962
1641686400000,2022-01-09,15066
1641600000000,2022-01-08,14993
1641686400000,2022-01-09,15068
1641600000000,2022-01-08,15001
1641686400000,2022-01-09,15065
1641600000000,2022-01-08,15014
1641686400000,2022-01-09,15044
1641600000000,2022-01-08,15080
1641686400000,2022-01-09,15029
1641600000000,2022-01-08,15104
1641686400000,2022-01-09,15021
1641600000000,2022-01-08,15106
1641686400000,2022-01-09,15018
1641600000000,2022-01-08,15186
1641686400000,2022-01-09,15013
1641600000000,2022-01-08,15209
1641686400000,2022-01-09,15020
1641686400000,2022-01-09,15024
1641686400000,2022-01-09,15021
1641600000000,2022-01-08,14944
1641686400000,2022-01-09,15058
1641600000000,2022-01-08,15025
1641686400000,2022-01-09,15074
1641600000000,2022-01-08,15114
1641686400000,2022-01-09,15042
1641600000000,2022-01-08,15125
1641686400000,2022-01-09,15032
1641686400000,2022-01-09,15029
1641600000000,2022-01-08,14633
1641686400000,2022-01-09,15062
1641600000000,2022-01-08,14847
1641686400000,2022-01-09,15072
1641600000000,2022-01-08,15135
1641686400000,2022-01-09,15071
1641600000000,2022-01-08,15153
1641686400000,2022-01-09,15020
1641600000000,2022-01-08,15151
1641686400000,2022-01-09,15023
1641686400000,2022-01-09,15025
1641686400000,2022-01-09,15032
1641686400000,2022-01-09,15029
1641686400000,2022-01-09,15029
1641686400000,2022-01-09,15028
1641686400000,2022-01-09,15021
1641600000000,2022-01-08,14740
1641686400000,2022-01-09,15097
1641600000000,2022-01-08,14748
1641686400000,2022-01-09,15098
1641600000000,2022-01-08,14767
1641686400000,2022-01-09,15069
1641600000000,2022-01-08,14832
1641686400000,2022-01-09,15066
1641600000000,2022-01-08,14851
1641686400000,2022-01-09,15062
1641600000000,2022-01-08,14823
1641686400000,2022-01-09,15037
1641600000000,2022-01-08,14902
1641686400000,2022-01-09,15007
1641600000000,2022-01-08,14957
1641686400000,2022-01-09,15004
1641600000000,2022-01-08,14975
1641686400000,2022-01-09,15002
1641600000000,2022-01-08,14986
1641686400000,2022-01-09,15008
1641600000000,2022-01-08,15022
1641686400000,2022-01-09,15011
1641600000000,2022-01-08,15010
1641686400000,2022-01-09,15008
1641600000000,2022-01-08,15057
1641686400000,2022-01-09,14996
1641600000000,2022-01-08,15133
1641686400000,2022-01-09,14995
1641686400000,2022-01-09,14992
1641686400000,2022-01-09,15042
1641600000000,2022-01-08,15094
1641686400000,2022-01-09,15056
1641600000000,2022-01-08,15094
1641686400000,2022-01-09,15051
1641686400000,2022-01-09,15026
1641686400000,2022-01-09,15017
1641600000000,2022-01-08,14718
1641686400000,2022-01-09,15016
1641600000000,2022-01-08,14979
1641686400000,2022-01-09,15037
1641600000000,2022-01-08,15142
1641686400000,2022-01-09,15030
1641600000000,2022-01-08,15150
1641686400000,2022-01-09,15031
1641600000000,2022-01-08,15150
1641686400000,2022-01-09,15033
1641686400000,2022-01-09,15033
1641686400000,2022-01-09,15029
1641686400000,2022-01-09,15029
1641686400000,2022-01-09,15029
1641686400000,2022-01-09,15027
1641686400000,2022-01-09,15023
1641600000000,2022-01-08,14750
1641686400000,2022-01-09,15112
1641600000000,2022-01-08,14628
1641686400000,2022-01-09,15105
1641600000000,2022-01-08,14607
1641686400000,2022-01-09,15105
1641600000000,2022-01-08,14767
1641686400000,2022-01-09,15065
1641686400000,2022-01-09,15056
1641600000000,2022-01-08,14645
1641686400000,2022-01-09,15047
1641600000000,2022-01-08,14621
1641686400000,2022-01-09,14994
1641600000000,2022-01-08,14796
1641686400000,2022-01-09,14969
1641600000000,2022-01-08,14825
1641686400000,2022-01-09,14957
1641600000000,2022-01-08,14832
1641686400000,2022-01-09,14939
1641600000000,2022-01-08,14869
1641686400000,2022-01-09,14929
1641600000000,2022-01-08,14929
1641686400000,2022-01-09,14957
1641600000000,2022-01-08,14979
1641686400000,2022-01-09,14986
1641600000000,2022-01-08,15054
1641686400000,2022-01-09,14978
1641600000000,2022-01-08,15113
1641686400000,2022-01-09,14983
1641600000000,2022-01-08,15123
1641686400000,2022-01-09,14982
1641600000000,2022-01-08,15147
1641686400000,2022-01-09,14993
1641600000000,2022-01-08,15147
1641686400000,2022-01-09,15012
1641686400000,2022-01-09,15010
1641686400000,2022-01-09,15007
1641600000000,2022-01-08,14718
1641686400000,2022-01-09,15003
1641600000000,2022-01-08,14718
1641686400000,2022-01-09,15003
1641600000000,2022-01-08,15065
1641686400000,2022-01-09,15003
1641600000000,2022-01-08,15080
1641686400000,2022-01-09,14908
1641686400000,2022-01-09,14991
1641686400000,2022-01-09,15014
1641686400000,2022-01-09,15010
1641686400000,2022-01-09,15028
1641686400000,2022-01-09,15062
1641600000000,2022-01-08,14749
1641600000000,2022-01-08,14524
